prefix,origin_asn
41.204.168.0/24,36914
41.204.172.0/22,36914
41.204.176.0/21,36914
41.204.180.0/22,36914
41.204.183.0/24,36914
41.204.184.0/21,36914
41.204.184.0/22,36914
41.204.186.0/24,36914
41.204.187.0/24,36914
41.204.189.0/24,36914
41.204.190.0/24,327945
41.204.191.0/24,327945
41.206.32.0/19,15808
41.206.32.0/21,15808
41.207.64.0/19,36915
41.207.64.0/23,36915
41.207.64.0/24,36915
41.207.65.0/24,36915
41.207.66.0/23,36915
41.207.67.0/24,36915
41.207.68.0/23,36915
41.207.70.0/23,36915
41.207.73.0/24,36915
41.207.74.0/24,36915
41.207.76.0/23,36915
41.207.78.0/23,36915
41.207.80.0/23,36915
41.207.81.0/24,36915
41.207.82.0/23,36915
41.207.84.0/22,36915
41.207.88.0/23,36915
41.207.90.0/23,36915
41.207.93.0/24,36915
41.207.94.0/23,36915
41.207.94.0/24,36915
41.207.95.0/24,36915
41.207.240.0/21,37349
41.207.240.0/23,37349
41.207.242.0/24,37349
41.207.244.0/24,37349
41.207.246.0/24,37349
41.207.247.0/24,37349
41.207.248.0/24,37540
41.207.249.0/24,37540
41.207.250.0/24,37540
41.207.251.0/24,37540
41.208.192.0/20,33762
41.208.208.0/20,33762
41.208.224.0/19,33762
41.209.0.0/18,9129
41.209.0.0/21,9129
41.209.8.0/21,9129
41.209.16.0/21,9129
41.209.24.0/21,9129
41.209.32.0/21,9129
41.209.40.0/21,9129
41.209.40.0/24,9129
41.209.48.0/21,9129
41.209.56.0/21,9129
41.210.128.0/18,20294
41.210.128.0/19,20294
41.210.128.0/20,20294
41.210.128.0/24,64513
41.210.129.0/24,64513
41.210.132.0/22,64513
41.210.136.0/22,64513
41.210.140.0/24,64513
41.210.141.0/24,64513
41.210.142.0/24,64513
41.210.143.0/24,64513
41.210.144.0/20,20294
41.210.144.0/24,64513
41.210.145.0/24,64513
41.210.146.0/23,64513
41.210.146.0/24,64513
41.210.147.0/24,64513
41.210.152.0/24,64513
41.210.153.0/24,64513
41.210.154.0/23,64513
41.210.156.0/24,20294
41.210.158.0/24,64513
41.210.159.0/24,64513
41.210.160.0/19,20294
41.210.160.0/20,20294
41.210.160.0/22,64513
41.210.164.0/22,64513
41.210.168.0/22,64513
41.210.172.0/22,64513
41.210.176.0/20,20294
41.210.180.0/24,64513
41.210.184.0/24,20294
41.210.186.0/24,20294
41.210.189.0/24,64513
41.210.191.0/24,64513
41.212.0.0/17,15399
41.212.0.0/24,15399
41.212.1.0/24,15399
41.212.2.0/24,15399
41.212.3.0/24,15399
41.212.4.0/24,15399
41.212.5.0/24,15399
41.212.6.0/24,15399
41.212.7.0/24,15399
41.212.8.0/24,15399
41.212.9.0/24,15399
41.212.10.0/24,15399
41.212.11.0/24,15399
41.212.12.0/24,15399
41.212.13.0/24,15399
41.212.14.0/24,15399
41.212.15.0/24,15399
41.212.16.0/24,15399
41.212.17.0/24,15399
41.212.18.0/24,15399
41.212.19.0/24,15399
41.212.20.0/24,15399
41.212.21.0/24,15399
41.212.22.0/24,15399
41.212.23.0/24,15399
41.212.24.0/23,15399
41.212.26.0/24,15399
41.212.27.0/24,15399
41.212.28.0/24,15399
41.212.29.0/24,15399
41.212.30.0/24,15399
41.212.31.0/24,15399
41.212.32.0/24,15399
41.212.33.0/24,15399
41.212.35.0/24,15399
41.212.37.0/24,15399
41.212.38.0/24,15399
41.212.39.0/24,15399
41.212.41.0/24,15399
41.212.42.0/24,15399
41.212.43.0/24,15399
41.212.45.0/24,15399
41.212.46.0/24,15399
41.212.47.0/24,15399
41.212.48.0/24,15399
41.212.49.0/24,15399
41.212.52.0/23,15399
41.212.54.0/23,15399
41.212.56.0/24,15399
41.212.57.0/24,15399
41.212.58.0/24,15399
41.212.59.0/24,15399
41.212.60.0/24,15399
41.212.61.0/24,15399
41.212.62.0/24,15399
41.212.63.0/24,15399
41.212.64.0/24,15399
41.212.65.0/24,15399
41.212.66.0/23,15399
41.212.68.0/24,15399
41.212.69.0/24,15399
41.212.70.0/24,15399
41.212.71.0/24,15399
41.212.72.0/24,15399
41.212.73.0/24,15399
41.212.74.0/24,15399
41.212.75.0/24,15399
41.212.77.0/24,15399
41.212.78.0/24,15399
41.212.79.0/24,15399
41.212.80.0/24,15399
41.212.81.0/24,15399
41.212.82.0/24,15399
41.212.83.0/24,15399
41.212.84.0/24,15399
41.212.85.0/24,15399
41.212.86.0/24,15399
41.212.87.0/24,15399
41.212.88.0/24,15399
41.212.89.0/24,15399
41.212.90.0/24,15399
41.212.91.0/24,15399
41.212.92.0/24,15399
41.212.93.0/24,15399
41.212.94.0/24,15399
41.212.95.0/24,15399
41.212.96.0/24,15399
41.212.97.0/24,15399
41.212.98.0/24,15399
41.212.99.0/24,15399
41.212.100.0/24,15399
41.212.101.0/24,15399
41.212.102.0/24,15399
41.212.103.0/24,15399
41.212.104.0/24,15399
41.212.105.0/24,15399
41.212.106.0/24,15399
41.212.107.0/24,15399
41.212.108.0/23,15399
41.212.110.0/24,15399
41.212.111.0/24,15399
41.212.112.0/24,15399
41.212.113.0/24,15399
41.212.114.0/24,15399
41.212.115.0/24,15399
41.212.116.0/23,15399
41.212.118.0/24,15399
41.212.119.0/24,15399
41.212.120.0/24,15399
41.212.121.0/24,15399
41.212.122.0/24,15399
41.212.123.0/24,15399
41.212.124.0/23,15399
41.212.126.0/23,15399
41.213.0.0/17,33762
41.213.0.0/19,33762
41.213.32.0/20,33762
41.213.48.0/20,33762
41.213.64.0/20,33762
41.213.80.0/20,33762
41.213.96.0/20,33762
41.213.96.0/21,33762
41.213.112.0/21,33762
41.213.120.0/22,33762
41.213.124.0/23,33762
41.215.0.0/17,15808
41.215.0.0/20,15808
41.215.32.0/20,15808
41.215.48.0/20,15808
41.215.64.0/20,15808
41.215.80.0/20,15808
41.215.96.0/20,15808
41.215.112.0/20,15808
41.215.128.0/20,36866
41.215.128.0/22,36866
41.215.129.0/24,36866
41.215.130.0/23,36866
41.215.130.0/24,36866
41.215.130.0/29,64515
41.215.131.0/24,36866
41.215.132.0/22,36866
41.215.132.0/23,36866
